País,fake news: (18/12/14 – 18/12/19)
Singapura,100
Brasil,96
Filipinas,92
Estados Unidos,63
Timor-Leste,57
Canadá,48
África do Sul,48
Irlanda,43
Reino Unido,43
Noruega,41
China,40
Dinamarca,39
Brunei,37
Luxemburgo,37
Austrália,36
Zimbabué,34
Malta,33
Catar,33
Cuba,32
Itália,32
Islândia,32
Suíça,32
Nova Zelândia,32
Nigéria,29
Quénia,28
Emirados Árabes Unidos,28
Malásia,28
Bélgica,28
Trindade e Tobago,28
França,27
Santa Helena,27
Fiji,27
Martinica,27
Suécia,26
Camarões,26
Portugal,25
Áustria,25
Hong Kong,25
Zâmbia,25
Gana,24
Alemanha,24
Guadalupe,24
Etiópia,23
Índia,23
Jamaica,22
Reunião,21
Macedónia do Norte,21
Chéquia,20
Chipre,20
Paquistão,20
Angola,19
Uruguai,19
Mianmar (Birmânia),18
Maurícia,18
Barém,18
Grécia,18
Países Baixos,18
Porto Rico,17
Kosovo,17
Uganda,17
Espanha,17
México,16
Panamá,16
Eslovénia,16
Nepal,16
Costa Rica,15
Albânia,15
Omã,14
Roménia,14
Líbano,14
Senegal,14
Letónia,14
Argentina,14
Macau,14
Chile,13
Finlândia,13
Koweit,12
Sri Lanca,12
Estónia,12
Camboja,12
Croácia,11
Israel,11
Colômbia,11
Côte d’Ivoire (Costa do Marfim),11
Hungria,11
Bolívia,11
Congo-Kinshasa,10
Coreia do Sul,10
Paraguai,10
Bangladeche,9
Moçambique,9
Nicarágua,9
Bulgária,9
Polónia,9
Lituânia,8
Tanzânia,8
Geórgia,7
Salvador,7
Honduras,7
Eslováquia,7
Marrocos,7
Arábia Saudita,6
Bósnia e Herzegovina,6
Sérvia,6
República Dominicana,6
Tunísia,6
Moldávia,5
Venezuela,5
Equador,5
Peru,5
Taiwan,5
Tailândia,5
Guatemala,5
Argélia,5
Indonésia,3
Egito,3
Vietname,3
Cazaquistão,2
Japão,2
Ucrânia,2
Rússia,2
Bielorrússia,2
Turquia,1
Irão,1
Eritreia,
Monserrate,
Ilhas Cook,
Tonga,
Samoa Americana,
Micronésia,
Anguila,
Vanuatu,
Guiné-Bissau,
Ilhas Marianas do Norte,
São Pedro e Miquelão,
Ilhas Faroé,
Ilhas Virgens Britânicas,
Gibraltar,
Samoa,
Antígua e Barbuda,
Maiote,
Jersey,
Guernesey,
Gronelândia,
Guame,
Listenstaine,
Bermudas,
Ilhas Caimão,
São Marinho,
Ilha de Man,
Países Baixos Caribenhos,
Namíbia,
Granada,
Mónaco,
Butão,
Ilhas Virgens dos EUA,
Curaçau,
Cabo Verde,
Gâmbia,
Ilhas Turcas e Caicos,
Belize,
São Martinho,
República Centro-Africana,
Guiné Equatorial,
São Cristóvão e Neves,
Barbados,
Baamas,
Maldivas,
Aruba,
Ilhas Salomão,
Botsuana,
Jibuti,
Gabão,
Polinésia Francesa,
Papua-Nova Guiné,
Níger,
Seicheles,
Domínica,
Togo,
Nova Caledónia,
São Martinho (Sint Maarten),
Essuatíni,
Andorra,
Guiana Francesa,
Santa Lúcia,
Guiana,
Benim,
São Vicente e Granadinas,
Maláui,
Libéria,
Sudão do Sul,
São Bartolomeu,
Afeganistão,
Lesoto,
Congo-Brazzaville,
Haiti,
Madagáscar,
Somália,
Serra Leoa,
Burquina Faso,
Ruanda,
Burundi,
Chade,
Mongólia,
Montenegro,
Suriname,
Laos,
Mauritânia,
Mali,
Arménia,
Guiné,
Jordânia,
Territórios palestinianos,
Líbia,
Tajiquistão,
Azerbaijão,
Sudão,
Usbequistão,
Quirguistão,
Iraque,
Síria,
Iémen,
Alanda,
Antártida,
Territórios Austrais Franceses,
Ilha Bouvet,
Ilhas dos Cocos (Keeling),
Comores,
Ilha do Natal,
Sara Ocidental,
Ilhas Falkland (Malvinas),
Ilhas Heard e McDonald,
Território Britânico do Oceano Índico,
Quiribáti,
Ilhas Marshall,
Ilha Norfolk,
Niuê,
Nauru,
Ilhas Pitcairn,
Palau,
Coreia do Norte,
Ilhas Geórgia do Sul e Sandwich do Sul,
Svalbard e Jan Mayen,
São Tomé e Príncipe,
Toquelau,
Turquemenistão,
Tuvalu,
Ilhas Menores Afastadas dos EUA,
Cidade do Vaticano,
Wallis e Futuna,
